Tweet,Date,User,Location,Source
Happy National Entrepreneurs’ Day from GSA OSDBU! We recognize the effort #SmallBusiness entrepreneurs put in to su… https://t.co/srXdSYnEpa,2021-11-16 16:30:00+00:00,GSAOSDBU,"Washington, DC",Twitter Web App
today is 'National Entrepreneurs Day' which is wonderful; just don't tell the publishers of ENTREPRENEUR magazine (… https://t.co/j3wjSfXIpK,2021-11-16 16:30:13+00:00,tm4smallbiz,"Falls Church, VA",Twitter Web App
"Melanie Nuce, SVP at GS1 US, provides insight into how emerging brands can connect more directly with customers thr… https://t.co/CzRKBhqCq8",2021-11-16 16:30:18+00:00,GS1_US,"Ewing, NJ",Hootsuite Inc.
"Happy #NationalEntrepreneursDay! 

Visit our website to learn how we help foreign entrepreneurs open up their busin… https://t.co/9wE6kJEbjd",2021-11-16 16:30:20+00:00,TIBAProgram,"San Antonio, Texas, USA",Buffer
"RT @twilio: Our journey began on a pizza box, so can yours. 🍕

Comment your million-dollar business ideas below and we’ll send pizzas to th…",2021-11-16 16:30:33+00:00,jeffiel,"San Francisco, CA",Twitter for iPhone
"RT @colinangle: Rosey, cocktails and landmines – they're all in the origin story of Roomba!

On #NationalEntrepreneursDay – when we recogni…",2021-11-16 16:30:42+00:00,ben11kehoe,"Santa Fe, NM",Twitter Web App
"Most UTA Entrepreneurs choose to build their companies here within the DFW area. 🧡

2022 MAVS 100 nominations open… https://t.co/kSacSTqBVe",2021-11-16 16:31:25+00:00,BusinessUTA,"Arlington, Texas",Twitter Web App
"RT @StartUsUpNow: On today's #NationalEntrepreneursDay, we emphasize the ongoing need to support America's entrepreneurs with policies that…",2021-11-16 16:31:40+00:00,TheSiliconHill,"Washington, DC",Twitter for iPhone
"Happy #NationalEntrepreneursDay to all of the amazing innovators, visionaries, + problem-solvers we get to work wit… https://t.co/Gl5CToHVVW",2021-11-16 16:31:41+00:00,TheOutpostTeam,"Washington, DC",Twitter Web App
"RT @BusinessUTA: Most UTA Entrepreneurs choose to build their companies here within the DFW area. 🧡

2022 MAVS 100 nominations open until t…",2021-11-16 16:33:03+00:00,treyjustice,Ft. Worth,Twitter for iPhone
It’s #NationalEntrepreneursDay and I’m excited to share some practical wisdom from @BradleyML of @ureekacommunity a… https://t.co/Tv4hqQSrQo,2021-11-16 16:33:15+00:00,dalila_says,,Twitter Web App
"RT @diorginyard: today is #NationalEntrepreneursDay...

to all the founders, innovators, leaders, and go-getters— we see you and celebrate…",2021-11-16 16:33:40+00:00,BrandsByBry,DC|MD|VA,Twitter Web App
Are you a local business owner looking to get more from your online marketing? Head to our website to browse our av… https://t.co/pTrRNp3w60,2021-11-16 16:33:47+00:00,SubsilioTeam,"Denver, CO, US, 80206",Social Reputation
#nationalentrepreneursday #entrepreneur #tuesdayvibe https://t.co/A04lEP7Ys3,2021-11-16 16:34:00+00:00,anwarjaffarihyd,"Hyderabad, India.",Twitter for Android
Let's celebrate all the local business owners who built up their business from the ground up! #Local… https://t.co/mXIxOoFWGS,2021-11-16 16:35:07+00:00,TMTCrystalLake,,Buffer
Let's celebrate all the local business owners who built up their business from the ground up! #Local… https://t.co/M8IVjaBleH,2021-11-16 16:35:35+00:00,TMTNorthAurora,"North Aurora, IL",Buffer
RT @swetavikram: Today is #NationalEntrepreneursDay 💜 Was it always my calling to start my own company? Nope. But I’m so glad that I did. I…,2021-11-16 16:35:38+00:00,FlyFemFounders,"New York, NY",Twitter for iPhone
"It's #NationalEntrepreneursDay in the US, but as we have many lovely clients there, we're still going to give ourse… https://t.co/dWyocshNy0",2021-11-16 16:36:05+00:00,swspublishing,"Ipswich, England",Twitter for Android
RT @UGA_CollegeofAg: It’s #NationalEntrepreneursDay! Read more about how our faculty are helping food entrepreneurs start their own food bu…,2021-11-16 16:37:57+00:00,uga_serves,"Athens, GA",Twitter for iPhone
"Radical ideas &amp; determination have changed the way we live our lives. The Internet. Gravity. SOAP 🧼

Go out there a… https://t.co/SwfXGylqKp",2021-11-16 16:38:00+00:00,raahtech,Atlanta GA,TweetDeck
RT @tm4smallbiz: today is 'National Entrepreneurs Day' which is wonderful; just don't tell the publishers of ENTREPRENEUR magazine (Entrepr…,2021-11-16 16:38:31+00:00,juanluisam,"Caracas, Venezuela",Twitter for Android
The future is bright! #NationalEntrepreneursDay Turn your idea into a dream come true! 💡🌟,2021-11-16 16:38:32+00:00,books_lhunt,,Twitter Web App
This #NationalEntrepreneursDay we want to take a moment to celebrate and congratulate everyone building their empir… https://t.co/iPCb2geLeY,2021-11-16 16:38:48+00:00,WilsonDutraLaw,"Jacksonville, FL",Buffer
"#NationalEntrepreneursDay • shout out your business!🐨🌱When we feel good in our bodies, our minds are clear😌🧘🏽‍♀️••… https://t.co/nxTkI66hQv",2021-11-16 16:39:21+00:00,koalasprouts,"Atlanta, GA",Twitter for iPhone
"RT @twilio: Our journey began on a pizza box, so can yours. 🍕

Comment your million-dollar business ideas below and we’ll send pizzas to th…",2021-11-16 16:40:11+00:00,vassko,"San Francisco, CA",Twitter Web App
